Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.36875,0.22402417027417026,0.13300137177400603,0.10961774936637432
SVM,0.58,0.5836275595954832,0.505823545779329,0.5293691491061107
Decision Tree,0.41875,0.40734100938234363,0.41517289846756783,0.40603220081117025
